iter	Logloss
315	0.2605516666
316	0.2605342994
317	0.2605140961
318	0.260507293
319	0.2604830577
320	0.2604628106
321	0.2604446373
322	0.260431367
323	0.260425301
324	0.260411479
325	0.2603966844
326	0.2603797467
327	0.2603572714
328	0.2603458052
329	0.2603333233
330	0.2603246055
331	0.260303613
332	0.260284514
333	0.2602575823
334	0.2602389276
335	0.2602234204
336	0.2602129573
337	0.2602003754
338	0.2601820625
339	0.2601646649
340	0.2601513387
341	0.2601352591
342	0.2601219854
343	0.2601077981
344	0.2600948621
345	0.2600840937
346	0.2600619577
347	0.2600509904
348	0.2600351861
349	0.2600136491
350	0.2599989085
351	0.2599853861
352	0.2599615479
353	0.2599546254
354	0.2599448328
355	0.259935297
356	0.2599266059
357	0.259917312
358	0.2599034347
359	0.259888252
360	0.2598672618
361	0.2598592796
362	0.2598384082
363	0.2598150566
364	0.2597970447
365	0.2597838868
366	0.2597657869
367	0.2597546447
368	0.259740005
369	0.2597253096
370	0.259707898
371	0.2596908409
372	0.2596787726
373	0.2596603194
374	0.259634621
375	0.2596134584
376	0.2595991428
377	0.2595780525
378	0.2595630177
379	0.2595497276
380	0.2595321186
381	0.2595194839
382	0.2595087501
383	0.2594881515
384	0.2594639786
385	0.2594534941
386	0.2594342728
387	0.2594179273
388	0.2593954602
389	0.2593811165
390	0.2593617785
391	0.259344247
392	0.2593239284
393	0.2593147314
394	0.2592950177
395	0.2592777474
396	0.2592624197
397	0.2592442785
398	0.2592311879
399	0.2592117651
400	0.2591963492
401	0.2591828914
402	0.2591691528
403	0.2591582064
404	0.2591402082
405	0.2591197416
406	0.2591020207
407	0.2590948686
408	0.259087553
409	0.2590754404
410	0.2590670696
411	0.259052367
412	0.2590428652
413	0.2590324625
414	0.2590209088
415	0.2590084064
416	0.2589867583
417	0.2589734623
418	0.2589546066
419	0.2589389117
420	0.2589233794
421	0.258904442
422	0.2588927163
423	0.2588719321
424	0.2588554178
425	0.2588393658
426	0.2588216403
427	0.2588064103
428	0.2587923979
429	0.2587789793
430	0.2587651661
431	0.2587449839
432	0.2587266933
433	0.2587131166
434	0.258701695
435	0.2586832098
436	0.2586681722
437	0.2586507945
438	0.2586323389
439	0.2586217461
440	0.2586094893
441	0.25859312
442	0.2585762091
443	0.2585627283
444	0.2585379468
445	0.2585265831
446	0.2585084934
447	0.2584978966
448	0.2584782577
449	0.2584566867
450	0.2584400854
451	0.2584259135
452	0.2584128995
453	0.2583907992
454	0.2583761504
455	0.2583608855
456	0.2583441144
457	0.2583291983
458	0.2583153557
459	0.2583013649
460	0.2582866734
461	0.2582773889
462	0.2582668829
463	0.2582586181
464	0.2582440171
465	0.2582314813
466	0.2582196817
467	0.2582057301
468	0.2581921615
469	0.2581819467
470	0.258167458
471	0.2581512263
472	0.2581298751
473	0.2581085199
474	0.2580918337
475	0.2580788505
476	0.2580657867
477	0.2580484215
478	0.25803051
479	0.2580153817
480	0.2580042588
481	0.257987676
482	0.2579783213
483	0.2579602006
484	0.2579431693
485	0.2579305417
486	0.2579219277
487	0.2579085133
488	0.2578980031
489	0.2578839555
490	0.2578723021
491	0.2578630994
492	0.2578448019
493	0.2578319958
494	0.2578129396
495	0.2577965035
496	0.2577781267
497	0.2577666466
498	0.2577465846
499	0.2577330072
500	0.2577073564
501	0.2576910798
502	0.2576780893
503	0.2576664267
504	0.2576476361
505	0.2576325267
506	0.2576119802
507	0.2575981508
508	0.2575852879
509	0.2575749522
510	0.2575542384
511	0.2575487429
512	0.2575319043
513	0.2575186725
514	0.2575112627
515	0.2575014657
516	0.2574893047
517	0.2574806782
518	0.2574719614
519	0.257459227
520	0.2574428592
521	0.2574298361
522	0.257414328
523	0.2574013913
524	0.257387183
525	0.2573733632
526	0.2573604829
527	0.2573495026
528	0.2573355299
529	0.2573132628
530	0.2573001732
531	0.2572817988
532	0.2572681005
533	0.2572515322
534	0.257236797
535	0.2572205197
536	0.2572095202
537	0.2571842981
538	0.2571696327
539	0.2571520454
540	0.2571346436
541	0.2571188867
542	0.2571076886
543	0.2570971254
544	0.2570818467
545	0.2570714432
546	0.2570515609
547	0.2570376924
548	0.2570130644
549	0.257001876
550	0.2569855912
551	0.256973863
552	0.2569617177
553	0.2569511268
554	0.2569398264
555	0.2569233005
556	0.2569118689
557	0.256898832
558	0.2568799633
559	0.2568652686
560	0.256848813
561	0.2568342467
562	0.2568176802
563	0.2567994719
564	0.2567843142
565	0.2567677579
566	0.2567497401
567	0.2567324861
568	0.2567226481
569	0.2567067992
570	0.2566917519
571	0.2566768598
572	0.2566737612
573	0.2566644314
574	0.256648998
575	0.2566337269
576	0.2566207432
577	0.256607625
578	0.2565959679
579	0.2565834286
580	0.2565634733
581	0.2565537228
582	0.2565375459
583	0.2565275993
584	0.2565106663
585	0.2564938829
586	0.256486355
587	0.2564698867
588	0.2564575221
589	0.2564409682
590	0.2564274557
591	0.256413043
592	0.2564053669
593	0.2563892953
594	0.2563774648
595	0.2563669204
596	0.2563609931
597	0.2563522811
598	0.2563370462
599	0.256325149
600	0.2563169491
601	0.2563044034
602	0.2562893773
603	0.256274829
604	0.2562566912
605	0.2562389845
606	0.2562271324
607	0.2562136262
608	0.2561984692
609	0.2561799243
610	0.256169892
611	0.2561568117
612	0.2561445059
613	0.2561366337
614	0.2561268226
615	0.2561154584
616	0.2561011818
617	0.2560896773
618	0.2560760833
619	0.256059371
620	0.2560488215
621	0.2560338369
622	0.2560235179
623	0.2560041683
624	0.2559901993
625	0.255974369
626	0.2559639628
627	0.2559495178
628	0.2559376017
629	0.2559214509
630	0.2559066112
631	0.2558901258
632	0.2558851546
633	0.2558669985
634	0.2558575103
635	0.2558442104
636	0.2558305477
637	0.255815636
638	0.2558086131
639	0.2557933768
640	0.2557840631
641	0.2557711591
642	0.2557552256
643	0.2557357149
644	0.2557217468
645	0.2557111868
646	0.2556897694
647	0.2556775528
648	0.2556629376
649	0.2556532235
650	0.2556462417
651	0.2556324599
652	0.2556196619
653	0.2556006186
654	0.2555834914
655	0.2555704069
656	0.2555567218
657	0.2555408684
658	0.2555289887
659	0.2555115534
660	0.2554971433
661	0.2554844432
662	0.2554767088
663	0.2554639884
664	0.2554537922
665	0.2554418699
666	0.2554262626
667	0.2554129389
668	0.2553990618
669	0.2553820496
670	0.255367774
671	0.2553473161
672	0.2553307227
673	0.2553123448
674	0.2552965143
675	0.2552823362
676	0.2552718183
677	0.2552597323
678	0.2552443452
679	0.2552304445
680	0.2552122296
681	0.2551944409
682	0.2551853233
683	0.2551719626
684	0.2551581738
685	0.2551474413
686	0.2551280058
687	0.2551243759
688	0.2551120957
689	0.2551001298
690	0.2550918328
691	0.255078379
692	0.2550684623
693	0.2550537067
694	0.2550430726
695	0.2550278891
696	0.2550145365
697	0.2550038721
698	0.254986788
699	0.2549713965
700	0.254963746
701	0.2549515506
702	0.2549427005
703	0.2549283931
704	0.2549165385
705	0.2549000107
706	0.2548873006
707	0.2548717839
708	0.2548589649
709	0.2548429223
710	0.2548263736
711	0.2548157906
712	0.2547988633
713	0.2547856663
714	0.2547689424
715	0.2547551608
716	0.2547451397
717	0.2547435843
718	0.2547275992
719	0.2547171049
720	0.2547060813
721	0.2547044632
722	0.2546919368
723	0.2546828814
724	0.2546737508
725	0.2546593763
726	0.2546438385
727	0.2546333311
728	0.2546192974
729	0.2546074324
730	0.2546042645
731	0.254591612
732	0.2545790124
733	0.2545696759
734	0.2545561759
735	0.25453902
736	0.2545278034
737	0.2545136566
738	0.2545056277
739	0.2544928658
740	0.2544803112
741	0.2544660375
742	0.2544540991
743	0.2544430486
744	0.2544278065
745	0.2544158417
746	0.2544080105
747	0.254392599
748	0.2543869079
749	0.2543770437
750	0.2543662388
751	0.254351822
752	0.2543405538
753	0.2543255785
754	0.2543129844
755	0.2543044644
756	0.2542926438
757	0.2542783233
758	0.2542630623
759	0.2542431762
760	0.2542351732
761	0.254215018
762	0.2541991329
763	0.2541806562
764	0.2541725329
765	0.2541587285
766	0.2541535319
767	0.2541409335
768	0.254132431
769	0.2541250286
770	0.254113566
771	0.2541014964
772	0.2540913682
773	0.2540791329
774	0.2540624162
775	0.2540535886
776	0.2540419895
777	0.25403159
778	0.2540152974
779	0.2540027507
780	0.2539891364
781	0.2539741666
782	0.2539666814
783	0.2539574161
784	0.2539473078
785	0.2539299478
786	0.2539100386
787	0.2538980902
788	0.253889121
789	0.2538729099
790	0.2538636102
791	0.2538483462
792	0.2538237697
793	0.2538104862
794	0.2537968884
795	0.253778098
796	0.2537665526
797	0.253748736
798	0.2537323852
799	0.2537173645
800	0.2537073147
801	0.2536950762
802	0.2536848563
803	0.2536738279
804	0.2536631646
805	0.2536555627
806	0.2536450343
807	0.253634478
808	0.2536181479
809	0.2536080468
810	0.2535969347
811	0.2535839176
812	0.2535711447
813	0.2535514208
814	0.2535390455
815	0.2535250552
816	0.253512572
817	0.2534951828
818	0.2534881064
819	0.2534748718
820	0.2534630069
821	0.2534507042
822	0.2534422429
823	0.2534240858
824	0.2534114191
825	0.2534048951
826	0.253390593
827	0.2533795124
828	0.2533699867
829	0.2533571456
830	0.2533426222
831	0.2533228204
832	0.2533042311
833	0.2532922275
834	0.2532792704
835	0.2532608105
836	0.2532425207
837	0.2532272177
838	0.2532139985
839	0.2532016093
840	0.2531890565
841	0.2531780372
842	0.2531619353
843	0.253148731
844	0.2531340494
845	0.2531169476
846	0.2531072407
847	0.2530979352
848	0.2530899491
849	0.2530747033
850	0.2530645293
851	0.2530460052
852	0.2530309503
853	0.2530161961
854	0.2530012798
855	0.252984233
856	0.2529688408
857	0.2529541692
858	0.2529398536
859	0.2529309707
860	0.2529153776
861	0.2528969785
862	0.2528837562
863	0.2528751029
864	0.2528655316
865	0.2528438094
866	0.2528299983
867	0.2528208606
868	0.2528102167
869	0.2527953135
870	0.2527771755
871	0.2527614247
872	0.2527484327
873	0.2527316372
874	0.2527210398
875	0.2527076519
876	0.2526931973
877	0.2526817429
878	0.2526679781
879	0.2526537151
880	0.2526436678
881	0.2526272044
882	0.2526147592
883	0.2526013589
884	0.2525813032
885	0.2525670502
886	0.2525493419
887	0.2525341054
888	0.252525946
889	0.252514234
890	0.2524959715
891	0.2524860774
892	0.2524771666
893	0.2524669467
894	0.252451282
895	0.2524374907
896	0.2524256238
897	0.2524046781
898	0.252391224
899	0.2523761786
900	0.2523631102
901	0.2523413068
902	0.2523286617
903	0.2523151793
904	0.252306233
905	0.2522944952
906	0.2522797304
907	0.2522686025
908	0.252247021
909	0.2522359896
910	0.2522241554
911	0.2522114833
912	0.2522008241
913	0.2521897587
914	0.2521739259
915	0.2521617918
916	0.2521487756
917	0.2521412502
918	0.2521235442
919	0.2521114281
920	0.2520978194
921	0.2520872133
922	0.2520721509
923	0.2520594651
924	0.2520560015
925	0.2520433872
926	0.2520331753
927	0.2520237923
928	0.2520095584
929	0.2519959619
930	0.2519831653
931	0.2519725324
932	0.2519595838
933	0.2519469684
934	0.2519321091
935	0.2519225501
936	0.2519068599
937	0.2518912407
938	0.2518729362
939	0.2518654954
940	0.2518489195
941	0.2518360254
942	0.251820916
943	0.2518109654
944	0.2517895573
945	0.2517763563
946	0.2517648368
947	0.2517514599
948	0.2517374315
949	0.2517261155
950	0.2517145753
951	0.2516995686
952	0.2516880323
953	0.2516765831
954	0.2516641237
955	0.2516535526
956	0.2516385452
957	0.251628266
958	0.2516192764
959	0.2516052229
960	0.2515910465
961	0.2515782814
962	0.2515701247
963	0.2515633555
964	0.2515515727
965	0.2515381744
966	0.2515288099
967	0.2515219471
968	0.2515134447
969	0.2514933828
970	0.2514824161
971	0.2514725944
972	0.2514605444
973	0.2514452607
974	0.2514346797
975	0.2514201466
976	0.2514096793
977	0.2513985124
978	0.2513863103
979	0.2513737742
980	0.251360491
981	0.2513473706
982	0.251335128
983	0.2513235364
984	0.251312612
985	0.2512958802
986	0.2512777242
987	0.2512584719
988	0.2512501748
989	0.2512416718
990	0.2512244764
991	0.2512125001
992	0.2511980533
993	0.2511896857
994	0.2511724632
995	0.251161118
996	0.2511482083
997	0.2511364399
998	0.2511186469
999	0.2511099634
